flowId,nodeType,throughput,packetLoss,delay
1,wireless,54054.05,0.00,0.01
2,wireless,67321.18,0.00,0.02
3,wireless,47650.56,0.00,0.02
4,wireless,59283.66,0.00,0.02
5,wireless,81663.52,0.00,0.03
6,wireless,830769.23,50.00,0.07
7,wireless,131067.96,50.00,0.06
8,wireless,53878.77,0.00,0.02
9,wireless,623076.92,25.00,0.05
10,wireless,90799.90,12.50,0.03
11,wireless,100966.03,25.00,0.04
12,wireless,55356.23,0.00,0.05
13,wireless,79062.96,0.00,0.02
14,wireless,931034.48,62.50,0.09
15,wireless,48747.46,0.00,0.02
16,wireless,69192.75,12.50,0.03
